D|V|-ADDRESS|----------------------DATA--------------------------------------
1|1|11110100|0111110110101010111110001000000001010011001010011001011001100011
1|1|11101111|1010000110111101011000000100011111011111101111110001010100100010
1|1|00100010|0100111000010000110101100111010001000111011001101110101001010000
1|1|10110110|0101101111111111010011101011101011001010100111101010101111101010
1|1|10110011|0000101110001110001011001101100111000001111010010010100100100000
1|1|01011001|1111111100111000111111111110100010111001000011010010010111100011
1|1|01100101|1000111111001000100000100101101011111011101100110000100001110001
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
0|0|00000000|0000000000000000000000000000000000000000000000000000000000000000
Hits: 0.00% / Misses: 100.00%
